rank,business,sector,town,hc_rank,founder,contact_channel,contact_handle,status,first_contacted,last_touch,owner,notes
1,Ruiru Auto-Parts Ltd.,ecommerce,Ruiru,85.3,,,,identified,,,,
2,Eldoret Agrovet Supplies,ecommerce,Eldoret,84.8,,,,contacted,,,Mark,emailed via website form
3,Kisumu Aqua Foods,agriculture,Kisumu,76.6,,,,identified,,,,
4,Mombasa Hardware Online,ecommerce,Mombasa,72.8,,,,identified,,,,
5,Nakuru Steel Fabricators,manufacturing,Nakuru,71.5,,,,identified,,,,
6,Githunguri Dairy,manufacturing,Kiambu,70.9,,,,identified,,,,
7,Mombasa Freight & Bond Ltd.,logistics,Mombasa,70.7,,,,identified,,,,
8,Spice World Ltd,manufacturing,Nairobi,69.1,,,,identified,,,,
9,Kevian Kenya Ltd,manufacturing,Thika,68.4,,,,identified,,,,
10,Githunguri Dairy Collective,manufacturing,Kiambu,67.1,,,,identified,,,,
